@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
in24.inetnebr.com,8/1/1995,00:00:01,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-05.txt
slppp6.intermind.net,8/1/1995,00:00:10,GET,HTTP/1.0,200,/history/skylab/skylab.html
133.43.96.45,8/1/1995,00:00:16,GET,HTTP/1.0,200,/shuttle/missions/sts-69/mission-sts-69.html
kgtyk4.kj.yamagata-u.ac.jp,8/1/1995,00:00:17,GET,HTTP/1.0,200,/
d0ucr6.fnal.gov,8/1/1995,00:00:19,GET,HTTP/1.0,200,/history/apollo/apollo-16/apollo-16.html
ix-esc-ca2-07.ix.netcom.com,8/1/1995,00:00:19,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery.html
www-c8.proxy.aol.com,8/1/1995,00:00:24,GET,HTTP/1.0,200,/shuttle/countdown/
slppp6.intermind.net,8/1/1995,00:00:32,GET,HTTP/1.0,200,/history/skylab/skylab-1.html
in24.inetnebr.com,8/1/1995,00:00:34,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-06.txt
uplherc.upl.com,8/1/1995,00:00:43,GET,HTTP/1.0,200,/shuttle/missions/sts-71/mission-sts-71.html
133.43.96.45,8/1/1995,00:00:46,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour.html
uplherc.upl.com,8/1/1995,00:00:55,GET,HTTP/1.0,200,/shuttle/resources/orbiters/atlantis.html
www-c3.proxy.aol.com,8/1/1995,00:00:59,GET,HTTP/1.0,200,/htbin/cdt_main.pl
in24.inetnebr.com,8/1/1995,00:01:02,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-07.txt
uplherc.upl.com,8/1/1995,00:01:13,GET,HTTP/1.0,200,/shuttle/resources/orbiters/challenger.html
uplherc.upl.com,8/1/1995,00:01:17,GET,HTTP/1.0,200,/history/apollo/apollo-17/apollo-17.html
ip-pdx6-54.teleport.com,8/1/1995,00:01:17,GET,HTTP/1.0,200,/history/history.html
www-d3.proxy.aol.com,8/1/1995,00:01:20,GET,HTTP/1.0,200,/
in24.inetnebr.com,8/1/1995,00:01:22,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-08.txt
piweba4y.prodigy.com,8/1/1995,00:01:32,GET,HTTP/1.0,200,/history/history.html
uplherc.upl.com,8/1/1995,00:01:38,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/images.html
133.43.96.45,8/1/1995,00:01:39,GET,HTTP/1.0,200,/shuttle/missions/sts-72/mission-sts-72.html
haraway.ucet.ufl.edu,8/1/1995,00:01:43,GET,HTTP/1.0,200,/facilities/lc39a.html
133.68.18.180,8/1/1995,00:01:48,GET,HTTP/1.0,200,/persons/nasa-cm/jmd.html
ip-pdx6-54.teleport.com,8/1/1995,00:01:48,GET,HTTP/1.0,200,/history/apollo/apollo.html
www-c3.proxy.aol.com,8/1/1995,00:01:48,GET,HTTP/1.0,200,/shuttle/countdown/count.html
endeavor.fujitsu.co.jp,8/1/1995,00:01:51,GET,HTTP/1.0,200,/shuttle/missions/sts-68/ksc-srl-image.html
www-d3.proxy.aol.com,8/1/1995,00:01:52,GET,HTTP/1.0,200,/shuttle/missions/sts-71/mission-sts-71.html
in24.inetnebr.com,8/1/1995,00:01:54,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-09.txt
205.163.36.61,8/1/1995,00:01:55,GET,HTTP/1.0,200,/shuttle/countdown/countdown.html
rpgopher.aist.go.jp,8/1/1995,00:01:58,GET,HTTP/1.0,200,/ksc.html
139.230.35.135,8/1/1995,00:02:02,GET,HTTP/1.0,200,/shuttle/missions/sts-49/mission-sts-49.html
ip-pdx6-54.teleport.com,8/1/1995,00:02:03,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
piweba4y.prodigy.com,8/1/1995,00:02:04,GET,HTTP/1.0,200,/history/apollo/apollo.html
piweba1y.prodigy.com,8/1/1995,00:02:13,GET,HTTP/1.0,200,/
165.213.131.21,8/1/1995,00:02:15,GET,HTTP/1.0,200,/procurement/procurement.html
haraway.ucet.ufl.edu,8/1/1995,00:02:20,GET,HTTP/1.0,200,/facilities/mlp.html
rpgopher.aist.go.jp,8/1/1995,00:02:27,GET,HTTP/1.0,200,/shuttle/countdown/
slppp6.intermind.net,8/1/1995,00:02:30,GET,HTTP/1.0,200,/history/skylab/skylab-2.html
in24.inetnebr.com,8/1/1995,00:02:32,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-10.txt
