@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
in24.inetnebr.com,8/1/1995,00:00:01,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-05.txt
ix-esc-ca2-07.ix.netcom.com,8/1/1995,00:00:09,GET,HTTP/1.0,200,/images/launch-logo.gif
slppp6.intermind.net,8/1/1995,00:00:10,GET,HTTP/1.0,200,/history/skylab/skylab.html
piweba4y.prodigy.com,8/1/1995,00:00:10,GET,HTTP/1.0,200,/images/launchmedium.gif
slppp6.intermind.net,8/1/1995,00:00:11,GET,HTTP/1.0,200,/history/skylab/skylab-small.gif
slppp6.intermind.net,8/1/1995,00:00:12,GET,HTTP/1.0,200,/images/ksclogosmall.gif
ix-esc-ca2-07.ix.netcom.com,8/1/1995,00:00:12,GET,HTTP/1.0,200,/history/apollo/images/apollo-logo1.gif
slppp6.intermind.net,8/1/1995,00:00:13,GET,HTTP/1.0,200,/history/apollo/images/apollo-logo.gif
133.43.96.45,8/1/1995,00:00:16,GET,HTTP/1.0,200,/shuttle/missions/sts-69/mission-sts-69.html
kgtyk4.kj.yamagata-u.ac.jp,8/1/1995,00:00:17,GET,HTTP/1.0,200,/
kgtyk4.kj.yamagata-u.ac.jp,8/1/1995,00:00:18,GET,HTTP/1.0,200,/images/ksclogo-medium.gif
d0ucr6.fnal.gov,8/1/1995,00:00:19,GET,HTTP/1.0,200,/history/apollo/apollo-16/apollo-16.html
ix-esc-ca2-07.ix.netcom.com,8/1/1995,00:00:19,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery.html
d0ucr6.fnal.gov,8/1/1995,00:00:20,GET,HTTP/1.0,200,/history/apollo/apollo-16/apollo-16-patch-small.gif
133.43.96.45,8/1/1995,00:00:22,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
133.43.96.45,8/1/1995,00:00:23,GET,HTTP/1.0,200,/shuttle/missions/sts-69/sts-69-patch-small.gif
133.43.96.45,8/1/1995,00:00:23,GET,HTTP/1.0,200,/images/launch-logo.gif
www-c8.proxy.aol.com,8/1/1995,00:00:24,GET,HTTP/1.0,200,/shuttle/countdown/
133.43.96.45,8/1/1995,00:00:25,GET,HTTP/1.0,200,/history/apollo/images/apollo-logo1.gif
ix-esc-ca2-07.ix.netcom.com,8/1/1995,00:00:25,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery-logo.gif
piweba4y.prodigy.com,8/1/1995,00:00:32,GET,HTTP/1.0,200,/images/NASA-logosmall.gif
slppp6.intermind.net,8/1/1995,00:00:32,GET,HTTP/1.0,200,/history/skylab/skylab-1.html
ix-esc-ca2-07.ix.netcom.com,8/1/1995,00:00:34,GET,HTTP/1.0,200,/images/ksclogosmall.gif
in24.inetnebr.com,8/1/1995,00:00:34,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-06.txt
slppp6.intermind.net,8/1/1995,00:00:39,GET,HTTP/1.0,200,/history/skylab/skylab-logo.gif
