@RELATION NASA-USERS-CATEGORY

@ATTRIBUTE host STRING
@ATTRIBUTE session-number INTEGER
@ATTRIBUTE operations {small,medium,large}
@ATTRIBUTE session-time {short,average,long}
@ATTRIBUTE average-time {small,medium,large}
@ATTRIBUTE /shuttle/missions/sts-69/mission-sts-69.html {T,F}
@ATTRIBUTE /shuttle/missions/missions.html {T,F}
@ATTRIBUTE /shuttle/missions/sts-70/mission-sts-70.html {T,F}
@ATTRIBUTE /ksc.html {T,F}
@ATTRIBUTE /shuttle/countdown/ {T,F}
@ATTRIBUTE /history/apollo/apollo-13/ {T,F}
@ATTRIBUTE /history/apollo/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-69/ {T,F}
@ATTRIBUTE /shuttle/missions/ {T,F}
@ATTRIBUTE /htbin/wais.pl {T,F}
@ATTRIBUTE /images/ {T,F}
@ATTRIBUTE /images {T,F}
@ATTRIBUTE /shuttle {T,F}
@ATTRIBUTE /shuttle/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-70/ {T,F}
@ATTRIBUTE /shuttle/technology/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-69 {T,F}
@ATTRIBUTE /shuttle/countdown {T,F}
@ATTRIBUTE /shuttle/missions {T,F}
@ATTRIBUTE /software/winvn/ {T,F}
@ATTRIBUTE /software/ {T,F}
@ATTRIBUTE /elv/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-71/ {T,F}
@ATTRIBUTE /software/winvn {T,F}
@ATTRIBUTE /shuttle/technology/sts-newsref/ {T,F}
@ATTRIBUTE /l {T,F}
@ATTRIBUTE /history {T,F}
@ATTRIBUTE /history/ {T,F}
@ATTRIBUTE /history/apollo {T,F}
@ATTRIBUTE /shuttle/mission {T,F}
@ATTRIBUTE /shuttle/missions/sts-71 {T,F}
@ATTRIBUTE /software {T,F}
@ATTRIBUTE /missions/missions.html {T,F}

@DATA
120.33.med.umich.edu,1,short,4,small,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.102.202.133,1,short,4,medium,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.104.235.113,1,short,3,medium,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.114.23.148,1,average,2,large,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.119.50.139,1,long,7,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.135.36.35,1,short,2,small,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.138.169.91,1,short,5,small,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.149.109.74,1,short,2,medium,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.155.40.126,1,average,3,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.155.44.136,1,short,2,small,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.158.20.67,2,short,3,small,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.158.34.221,1,average,4,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
